name,category,phone_number,address,website,latitude,longitude,place_id
Hitesh Hardware,plumber,09669161796,"Shop no 11 plot number1, sarwanand, Bholaram Ustad Marg, Bholaram Ustad Market, Sector C, Brahmapuri Colony, Bhanwar Kuwa, Indore, Madhya Pradesh 452001",,,,
Home Care Solution,plumber,09893237831,"Bicholi Hapsi Main Rd, Bicholi Mardana, Indore, Madhya Pradesh 452016",,,,
S.A. Sales And Service Waterproofing and Agency,plumber,09826804141,"H.No. 1057 Sector A-1,S, 136, Niranjanpur - Kabit Khedi, Indore, Madhya Pradesh 452010",https://bestwaterproofingservices.in,,,
Plumbing and electric work,plumber,09753843278,,,,,
Jay Shri Shyam,plumber,,"Maruti place, 57 /2, Vindhyanchal Nagar, Indore, Madhya Pradesh 452002",,22.7189766,75.8358647,
Shree sawaliya plumbing,plumber,,"546/3 indore banganga, Kushwah Nagar Main Rd, Roshan Bagh Colony, Yadav Nand Nagar, Indore, Madhya Pradesh 452015",,,,
PLUMBER LOUNGE,plumber,,"158-159, Behind C21 Mall, Scheme 54 PU4, Indore, Madhya Pradesh 452010",,,,
Bageshwar plumber sarvice | बागेश्वर प्लंबर सर्विस,plumber,07691970260,"Dewas Naka, Shree Nagar, Indore, Madhya Pradesh 452018",,,,
Mahalaxmi sanitary ware and tiles,plumber,07354000718,"73, Kanadia Rd, opposite Aashirwad Complex, Sector A, Sanvid Nagar, Indore, Madhya Pradesh 452018",https://instagram.com,22.7205827,75.9009953,
HARISH LIFESTYLE,plumber,08048040121,"A-2, Paththar Godown Rd, New Siyaganj, Mal, Indore, Madhya Pradesh 452003",https://harishlifestyles.com,22.7239879,75.8677244,
"Scientific Refractories (Flange Manufacturer, Zoloto, Indiano, DRP Valves, Plumber Bathware Authorised Dealer/Distributor)",plumber,09425066295,"MS-B 202-203, Paththar Godown Rd, New Siyaganj, Indore GPO, Indore, Madhya Pradesh 452003",https://scientificrefractories.com,,,
"Bhagwati Enterprises (Plumber Bathware Authorised Dealer) | Sanitaryware, bathroom fittings, Astral Pipes,Oryn Bath",plumber,08359883336,"9, venkatesh nagar, Airport Rd, Sukhdev Nagar, Indore, Madhya Pradesh 452005",https://orynbathstore.com,,,
Chaurasiya plumbing service,plumber,,"Nanda Nagar, Indore, Madhya Pradesh 452001",,,,
Perfect Enterprises | colors | plumber | Bathroom Fittings | GandiNagar indore | Berger | Asian paints | low price,plumber,08989277778,"175 D, opp. Tulsi vardan hospital, Nainod Marke, Gandhi Nagar, Indore, Madhya Pradesh 452005",https://id.vyaparify.com,,,
Plumber Bathware,plumber,09112337624,"Scheme No 54, Indore, Madhya Pradesh 452010",,,,
Naresh Services company,plumber,09575077772,"193/B, Prajapat Nagar, Futi Kothi Square, Sudama Nagar, Indore, Madhya Pradesh 452009",https://nareshservices.com,,,
Plumber Bathware Authorised Dealer : BALRAM TRADERS,plumber,08305503990,"Emerald City, 181, MR 12 Rd, near by Aurobindo hospital, Jakhya, Indore, Madhya Pradesh 453555",,22.798256,75.8504282,
The classy services,plumber,09575077772,"4, Chhatribagh Rd, Janata Colony, Indore, Madhya Pradesh 452007",https://theclassy.in,22.7140388,75.8494357,
Distributor House,plumber,09826012085,"Shalimar Plaza 12, Jawahar Marg, Near Patel Bridge, Ida Building, Jawahar Marg, Indore, Madhya Pradesh 452007",,,,
Laxmi Agencies ( PLUMBER STORE ),plumber,09691311111,"1, Vashundhara Complex, Paththar Godown Rd, Near New Siyaganj, Nehru Park 2, Indore GPO, Indore, Madhya Pradesh 452003",,,,
Al Falah Home Services,plumber,09111115246,"27-a Shanthi Nagar, Shrinagar, Khajrana, Indore, Madhya Pradesh 452001",,,,
Vashu electric plumbing contraction and home service,plumber,08319128452,"devgurdiya, Dudhia, Indore, Jamniya, Madhya Pradesh 452016",https://vashu-electric.grexa.site,,,
Raj Sanitary & Plumbing,plumber,,"Samajwadi Indira Nagar, Scheme 71, Indore, Madhya Pradesh 452002",,,,
SHARMA & ASSOCIATES FIRETECH PVT. LTD.,plumber,,"6th Floor, Nexus Mall, 9B, RNT Marg, Flim Colony, South Tukoganj, Indore, Madhya Pradesh 452001",https://safpl.com,,,
PATEL SANITARY & HARDWARE,plumber,,"49, C, Sabji Mandi Main Rd, Mahavir Kripa Avenue, Kalani Nagar, Indore, Madhya Pradesh 452005",,,,
Shivaay Sanitary Ware & Bath Fittings,plumber,09981162577,"FF4, Labhshree Complex, Paththar Godown Rd, New Siyaganj, Indore, Madhya Pradesh 452003",,,,
Aditya Home Care | Granth Auto Parts,plumber,,"345, 2nd Floor, Vikram Tower, Sapna Sangeeta Rd, Old Agarwal Nagar, Indore, Madhya Pradesh 452001",,,,
Ripples Bathware - hindware dealers in indore | Hindware,plumber,09713211555,"Labhshree Complex, New Siyaganj Rd, New Siyaganj, Indore, Madhya Pradesh 452001",https://ripplesbathware.co.in,,,
Aasif plumbing service,plumber,,,,,,
Arham Enterprise,plumber,,"6 TS, Navlakha Rd, Loha Mandi, Indore, Madhya Pradesh 452001",,,,
N Hiteshi Electrical,plumber,09300996664,"RS Bhandari Marg, near Shalby Hospital, Old Palasia, Indore, Madhya Pradesh 452001",,22.7289167,75.8793558,
Abhishek plumber,plumber,,"MR8R+H53, Tanki chok, Bijalpur, Indore, Madhya Pradesh 452012",,,,
Patil Hardware,plumber,09424915753,"42, 5, Kanadia Rd, Savindnagar, Sanvid Nagar, Indore, Madhya Pradesh 452018",https://patilhardware.com,,,
Pooja sanitary And Hardware,plumber,09826068656,"shop no. 3, Bangali Square, 38-39, Kanadia Rd, opposite ambika sweets, Manbhavan Nagar, Indore, Madhya Pradesh 452018",,,,
