name,address,phone,category,area,lat,lng,place_id,url
Shubham Syndicate,"62, Ahilya Pura, Indore, Madhya Pradesh 452002",,plumber,,,,,
Puranmal Sons Indore - Waterwell Authorised partner (Water Storage Tanks),"Gate No.1, Puranmal Sons Indore, Plot No 254, Siddhachal Appartment, Jawahar Marg, nearby Vaishnav School, Raj Mohalla, Indore, Madhya Pradesh 452002",,plumber,,,,,
Raj Sanitaryware,"LG-75 UG, Icici bank, A-74, New Siyaganj, Indore, Madhya Pradesh 452001",,plumber,,,,,
Chouhan plumber work and group,"Bhangiya - Shakkar Khedi Rd, village, Kumedi, Indore, Madhya Pradesh 453555",,plumber,,,,,
Manju Shree Sanitations,"16, Hukumchand Marg, Itwaria Bazaar, Indore, Madhya Pradesh 452002",,plumber,,,,,
Plumbing services and All Plumbing Solutions,"PRP8+87R, Chota Bangarda, Indore, Madhya Pradesh 452005",,plumber,,,,,
OM SAAI RAM DOMESTIC SERVICES (ALL PAINTING WORKS ),"JUNIOR MIG, 28, Jai Bajrang Nagar, Indore, Madhya Pradesh 452011",,plumber,,,,,
"Rajkamal Traders (Plumber Bathware Authorised Dealer) | Sanitaryware, Designer Wash Basins, Bathroom Fittings, Pipes","15/1, Sarthak Plaza, Ug 11, Maharani Rd, Indore, Madhya Pradesh 452007",,plumber,,,,,
Akhil plumbing work,"Pachwati nx colony, Vijay Nagar, Scheme No 54, Indore, Madhya Pradesh 452010",,plumber,,,,,
Parag Traders,"Race Course Rd, Near Kapas BhavanNear Kapas Bhavan, Dil Pasand Colony, Race Course Road, Indore, Madhya Pradesh 452003",,plumber,,,,,
Shri Shyam Ceramics And Tiles,"84/B, opp. Radisson blu hotel, Sector C, Sheetal Nagar, Indore, Madhya Pradesh 452010",,plumber,,,,,
Siree mahakal plumber sarvise,"MR 9 Rd, Asha Nagar, Indore, Madhya Pradesh 452011",,plumber,,,,,
Tarun Traders,"29/2, Godha Colony, Indore, Madhya Pradesh 452007",,plumber,,,,,
Doctor Babu,"117, NX Sant Nagar, Khandwa Naka, Nehru Nagar, Indore, Madhya Pradesh 452011",,plumber,,,,,
Astral Pipes,"L-18, Side Walking Rd, Cross Road, Vijay Nagar Square, Scheme No 54, Indore, Madhya Pradesh 452010",,plumber,,,,,
Mahajan Corporation - Dealer Moira Sariya,"294-295, Keshav Vidhyapeeth Road, Ambikapuri Extension, Ambikapuri Main, Indore, Madhya Pradesh 452005",,plumber,,,,,
Tirupati Sanitation -,"Shop No.5, Lalaji Complex,24, T.S, near Shree Marble, Loha Mandi, Indore, Madhya Pradesh 452001",,plumber,,,,,
Raj,,,plumber,,,,,
SHRIDEV PLUMBER WORKING,"1/1, opp. Digambar Jain Mandir, Vaishnav Stadium, North Rajmohalla, Raj Mohalla, Indore, Madhya Pradesh 452002",,plumber,,,,,
Manoj Bardi Plumbing Services,"Room No.4, near Atharv Kirana store, Bhagyalakshmi Nagar, Bhagya Lakshmi Colony, Sukhliya, Indore, Madhya Pradesh 452010",,plumber,,,,,
Suvidha nal fitting centre,"PV8C+V52, MG road guruwani restorent ke samne, Madhya Pradesh 452001",,plumber,,,,,
